alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_nom_fr;Energie_Kj;Energie_Kcal;Eau;Proteines;Glucides;Lipides;Sucres;Glucose;"Fibres
alimentaires";"AG
saturés";"Sel
chlorure
de
sodium"
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Griotte. crue;-;-;86.1;1;10.6;0.3;8.49;4.18;1.6;0.068;0.0075
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Canneberge ou cranberry. crue;-;-;86.6;0.88;7.6;0.17;4.04;3.28;5.65;0.011;0.035
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme Granny Smith. chair sans peau. crue;216;51;85.3;0.25;11.4;< 0.5;10.6;1.9;2.6;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme Granny Smith. chair et peau. crue;205;48.6;85.8;0.25;10.7;< 0.5;10.1;1.6;2.8;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Citron. zeste. cru;-;-;81.6;1.5;5.4;0.3;4.17;-;10.6;0.039;0.015
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Sureau. baie. crue;-;-;79.8;0.66;11.4;0.5;6.52;3.15;7;0.023;0.015
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Myrtille. surgelée. crue;-;-;86.6;0.42;8.9;0.64;8.45;-;2.7;0.032;0.0025
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Salade de fruits. crue;336;79.3;78;0.61;18;0.24;14.2;-;1.36;0.031;0.002
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Framboise. surgelée. crue;-;-;85.9;1;7;0.5;7;0.75;6.5;0.048;0.0075
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Nectarine ou brugnon. jaune. chair et peau. sans noyau. crue;210;49.5;86.6;0.69;11.3;< 0.5;8.8;1;0.6;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Nectarine ou brugnon. blanche. chair et peau. sans noyau. crue;210;49.5;86.5;0.81;11.4;< 0.5;8.9;1.1;< 0.5;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Mûre (de ronce). surgelée. crue;-;-;82.2;1.18;10.7;0.43;-;-;5;0.015;0.0025
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomelo (dit Pamplemousse) jaune. chair sans peau. sans pépins. cru;-;-;90.5;0.69;7.31;0.1;7.31;1.59;1.1;0.014;0
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomelo (dit Pamplemousse) rose. chair sans peau. sans pépins. cru;-;-;88.1;0.77;6.2;0.14;6.2;1.45;1.6;0.021;0
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Poire Conférence. chair sans peau. crue;207;49.1;85.3;0.25;11.4;< 0.5;9.4;1.2;3.1;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Poire Williams. chair sans peau. crue;211;50.2;84.7;0.25;11.5;< 0.5;9.4;1;3.1;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme Chantecler. chair sans peau. crue;200;47.2;86.4;0.25;11.2;< 0.5;10.8;1.3;1.9;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme Gala. chair sans peau. crue;218;51.6;85.5;0.25;11.9;< 0.5;11.1;1.1;1.9;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme Pink lady. chair sans peau. crue;242;57.3;83.6;0.25;12.8;< 0.5;12.3;1.1;2.9;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pêche blanche. chair et peau. sans noyau. crue;187;44.3;87.6;0.69;9.48;< 0.5;8.7;0.8;2.1;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pêche blanche. chair sans peau. sans noyau. crue;188;44.3;87.6;0.63;9.63;< 0.5;7.8;0.7;1.1;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pêche jaune. chair sans peau. sans noyau. crue;189;44.5;87.8;0.69;9.8;< 0.5;7.6;0.9;1;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Raisin cru (aliment moyen);301;71;81.2;0.7;16.3;0.25;15.4;7.11;1.11;0.025;< 0.0094
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme. chair sans peau. crue (aliment moyen);217;51.3;85.2;0.26;11.9;0.24;11.4;1.45;2.39;< 0.01;0.0064
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Poire. chair. crue (aliment moyen);209;49.7;85;0.25;11.4;< 0.5;9.4;1.1;3.1;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pêche. chair sans peau. sans noyau. crue (aliment moyen);189;44.4;87.7;0.67;9.74;< 0.5;7.66;0.84;1.03;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Nectarine ou brugnon. chair et peau. sans noyau. crue (aliment moyen);210;49.5;86.6;0.74;11.3;< 0.5;8.84;1.04;0.47;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Fruit du jacquier ou jacque. chair sans peau. cru;-;-;73.5;1.72;20.6;0.64;19.1;9.48;1.5;0.2;0.005
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Datte du désert. chair et peau. sans noyau. crue;-;-;60.7;1.5;31.3;0.1;31.3;-;3.6;0.04;0.018
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Dourian ou durian. chair sans peau. sans noyau. cru;-;-;65;1.47;23.3;5.33;-;-;3.8;-;0.005
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Kaki de brousse. fruit. cru;-;-;80.3;0.58;17.1;0.19;12.5;5.44;3.6;0.02;0.0025
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Kumquat. chair et peau. sans pépin. cru;-;-;80.9;1.88;9.6;0.86;9.36;2.2;6.5;0.1;0.025
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Longan. chair sans peau. sans noyau. cru;-;-;82.8;1.31;14;0.1;-;-;1.1;-;0
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Nèfle du Japon. chair et peau. sans noyau. crue;204;48.1;86.7;0.43;9.9;0.2;6.1;-;1.7;0.04;0.0025
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Prune violette. sans noyau. crue;196;46.4;86;0.8;9.6;0.1;9.6;-;1.94;-;0.002
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pamplemousse chinois. chair sans peau. sans pépins. cru;163;38.4;89.1;0.76;7.14;0.04;-;-;1;-;0.0025
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Pomme Golden. chair et peau. crue;229;54.1;85.1;0.25;12.8;< 0.5;11.5;1.4;1.4;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Raisin noir Muscat. cru;367;86.6;76.7;0.69;20;< 0.5;19.6;9.8;2.7;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Melon miel ou melon honeydew. chair sans peau. sans pépins. cru;93.9;22.2;89.8;0.54;4.3;0.14;4.25;1.3;0.8;0.038;0.045
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Fruits rouges. crus (framboises. fraises. groseilles. cassis);-;-;85.1;1;7;0.5;6.99;3.29;4.5;0;0.01
fruits. légumes. légumineuses et oléagineux;fruits;fruits crus;Fruit cru (aliment moyen);239;56.6;84.3;0.69;12.1;0.26;10.4;2.48;1.98;0.02;0.0088
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote de pomme. préemballée;453;107;72.9;0.25;25.8;0.23;22.6;5.35;1.54;0.000025;0.031
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Pruneau. sans noyau. cuit;-;-;68;1.23;-;0.24;-;-;-;0.02;0.005
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote. tout type de fruits. allégée en sucres. préemballée. rayon frais;270;63.8;83.9;0.17;14.7;0.073;14.1;3.09;1.89;0;0.00033
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote de pomme. allégée en sucres. rayon ambiant;273;64.3;82.9;0.25;15.1;0.13;14.3;3.01;1.3;0.078;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Dessert de fruits. tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes). préemballé. rayon ambiant;378;89.3;79.4;0.33;20.6;0.21;17.4;3.75;1.95;0.041;0.0048
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;"Purée de fruits. tout type de fruits. type ""compote sans sucres ajoutés"". rayon ambiant";239;56.4;84.2;0.25;13.3;< 0.3;11.3;3;1.7;< 0.01;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Spécialité de fruits. tout type de fruits. sucrée (mélange chairs et/ou purées de fruits. mais toujours avec autre ingrédient). préemballée. rayon ambiant;308;72.7;-;0.28;16.5;0.41;15.1;2.7;1.71;0.18;0.011
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Spécialité de fruits. tout type de fruits. sans sucres ajoutés (mélange chairs et/ou purées de fruits. mais toujours avec autre ingrédient). préemballée. rayon ambiant;246;58.3;-;0.32;12.7;0.37;11.5;-;1.91;0.14;0.0063
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Pomme. chair sans peau. rôtie/cuite au four;224;52.7;85.6;0.16;12.9;< 0.5;12.6;2.07;< 1;< 0.15;< 2
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Pomme. chair sans peau. bouillie/cuite à l'eau;228;54;85.5;0.26;11.2;0.36;11;-;2.4;0.058;0.0025
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote ou assimilé. tout type de fruits. sans précision sur la teneur en sucres (allégée en sucres ou non. sans sucres ajoutés…) ni sur le rayon (aliment moyen);340;80.2;78.9;0.26;19.1;0.16;17.2;4.24;1.65;0.02;0.013
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;"Purée de pommes. type ""compote sans sucres ajoutés"". rayon ambiant";239;56.4;85.1;1.13;11.6;0.28;11.6;2.76;1.7;0.082;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote. tout type de fruits autres que pomme seule. allégée en sucres. préemballée. rayon ambiant;278;65.7;82.9;0.25;15.4;0.2;14.6;3.32;1.6;0.071;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Rhubarbe. tige. cuite;79.2;18.8;94;0.94;1.35;< 0.5;1.3;0.63;2.3;< 0.15;< 2
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote de pêche. préemballée;449;106;-;0.63;24.9;0.1;24.3;6.57;1.65;0.000033;0.02
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote d'abricot. préemballée;436;103;67.5;0.72;24.1;0.1;23.3;8.63;1.47;0.04;0.022
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote de rhubarbe. préemballée;469;111;-;0.57;25.8;0.067;24.4;-;2.38;0.000033;0.025
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Dessert de fruits. tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes). préemballé. rayon frais;327;77.3;-;0.35;17.7;0.22;17.1;-;1.78;0.049;0.0021
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Spécialité de fruits divers. sucrée (mélange chairs et/ou purées de fruits. mais toujours avec autre ingrédient). préemballée. rayon frais;335;79.2;-;0.36;18.2;0.22;17.1;-;1.87;0.061;0.0051
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Spécialité de fruits. tout type de fruits. sans sucres ajoutés (mélange chairs et/ou purées de fruits. mais toujours avec autre ingrédient). préemballée. rayon frais;235;55.6;-;0.38;12.2;0.3;11.2;-;1.8;0.1;0.0061
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;"Purée de fruits. tout type de fruits. type ""compote sans sucres ajoutés"". préemballée. rayon frais";248;58.7;-;0.43;12.7;0.29;11.5;-;2.02;0.064;0.0039
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote. autres fruits. préemballée;429;101;73.1;0.25;23.9;0.072;23.1;6.07;2;0.028;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Compote de pomme. sans précision sur la teneur en sucres ni sur le rayon (aliment moyen);396;93.5;76.1;0.25;22.4;0.2;20;4.61;1.46;0.025;0.023
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Dessert de fruits. tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes). préemballé. sans précision sur le rayon (aliment moyen);357;84.4;-;0.34;19.4;0.22;17.3;-;1.88;0.044;0.0037
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;"Purée de fruits. tout type de fruits. type ""compote sans sucres ajoutés"". sans précision sur le rayon (aliment moyen)";239;56.4;84.2;0.25;13.3;0.15;11.3;3;1.7;0.005;0.0063
fruits. légumes. légumineuses et oléagineux;fruits;compotes et assimilés;Spécialité de fruits. tout type de fruits. (mélange chairs et/ou purées de fruits. mais toujours avec autre ingrédient). sans précision sur la teneur en sucres ni sur le rayon (aliment moyen);308;72.7;-;0.28;16.5;0.41;15.1;2.7;1.71;0.18;0.011
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Abricot au sirop (sans précision sur léger ou classique). appertisé. égoutté (aliment moyen);288;67.9;81.4;0.59;15.5;< 0.5;14.9;6.5;1.4;-;0.029
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Macédoine ou cocktail ou salade de fruits. au sirop (sans précision sur léger ou classique). appertisé. égouttée (aliment moyen);275;64.9;82;0.25;15.2;< 0.5;13;5.33;2;-;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Macédoine ou cocktail ou salade de fruits. au sirop. appertisé. égoutté;302;71.3;80.4;0.25;16.8;< 0.5;13.8;5.7;2.1;-;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Macédoine ou cocktail ou salade de fruits. au sirop. appertisé. non égoutté;317;74.8;79.9;0.25;17.8;< 0.5;14.3;5.98;1.26;-;0.003
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Macédoine ou cocktail ou salade de fruits. au sirop léger. appertisé. égoutté;250;59.1;83.5;0.25;13.7;< 0.5;12.2;5;1.9;-;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Macédoine ou cocktail ou salade de fruits. au sirop léger. appertisé. non égoutté;253;59.7;84;0.25;14;0.061;12.3;5.12;1.18;0.009;0.0026
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Abricot au sirop léger. appertisé. égoutté;259;61.1;83;0.94;13.5;< 0.5;13.1;4.02;1.4;-;0.024
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Abricot au sirop léger. appertisé. non égoutté;265;62.5;83.5;0.81;14;0.043;14;4.21;0.83;0.003;0.025
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Abricot au sirop. appertisé. égoutté;295;69.6;81;0.5;16;< 0.5;15.3;7.1;1.4;-;0.03
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Abricot au sirop. appertisé. non égoutté;296;69.7;81.4;0.29;16.3;< 0.5;15.1;7.06;0.81;-;0.03
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Ananas au jus d'ananas. appertisé. égoutté;237;56;84.5;0.25;12.9;< 0.5;12.8;4.07;1.4;-;< 0.0025
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Ananas au jus d'ananas. appertisé. non égoutté;234;55;84.9;0.25;12.9;< 0.5;12.6;4.03;0.92;-;0.00049
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Ananas au sirop léger. appertisé. égoutté;279;65.8;82;0.25;15.3;< 0.5;15.3;5.56;1.6;-;0.0048
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Ananas au sirop léger. appertisé. non égoutté;282;66.5;82.4;0.25;15.6;0.078;15.6;5.72;1.01;0.009;0.0047
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Litchi. chair sans peau. sans noyau.  au sirop léger. appertisé. égoutté;266;62.8;83.4;0.63;14.3;0.19;14;6.6;1.1;0.055;< 2
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Pêche. sans noyau. au sirop léger. appertisée. égouttée;250;59;83.9;0.5;13.5;< 0.5;13.1;4.5;1.5;-;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Pêche. sans noyau. au sirop léger. appertisée. non égouttée;255;60;84.3;0.31;14;0.038;12.9;4.46;0.92;0.003;0.0022
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Poire au sirop léger. appertisée. égouttée;270;63.9;82.3;0.25;13.9;0.4;11.5;3.67;2.6;-;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits appertisés;Poire au sirop léger. appertisée. non égouttée;265;62.6;83.7;0.3;14.5;0.12;12.8;4.64;1.23;0.002;0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Abricot. dénoyauté. sec;1010;239;24.7;2.88;59.1;0.5;34.3;16;8.3;0.19;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Datte. chair et peau. sans noyau. sèche;1210;287;22.9;1.81;64.7;0.25;64.7;32.8;7.3;0.075;0.098
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Figue. sèche;1110;261;30.1;2.9;55;1.22;48.4;24.8;8.15;0.57;0.22
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Pruneau. sans noyau. sec;969;229;34.9;1.63;55.4;0.4;38.1;22.8;5.1;0.16;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Raisin sec;1360;322;16;3;73.2;0.9;70.3;34;4.2;0.31;0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Mélange apéritif de fruits exotiques. sec;1640;389;11.7;2.19;69.5;10.5;59.4;21.6;3.4;9.16;0.22
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Banane. chair sans peau. sèche;1540;365;3;3.89;78.4;1.81;47.3;-;9.9;0.7;0.0075
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Pomme. sèche;1040;247;31.8;0.93;55;0.32;52.5;-;8.7;0.052;0.22
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Pêche. chair et peau. sans noyau. sèche;1390;329;7.5;5;65.4;1;51.1;6.1;14.3;0.092;0.2
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Canneberge ou cranberry. séchée. sucrée;1410;332;14.6;0.25;76.4;1;72.8;32;5.7;0.2;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Baie de goji. séchée;1270;300;18.4;12.1;49;2.9;48.4;23.5;11.8;0.75;0.91
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Abricot. dénoyauté. sec. moelleux (réhydraté à 35-45%);846;200;39.3;2.31;51.1;0.4;29.9;14.9;3.5;0.16;< 0.013
fruits. légumes. légumineuses et oléagineux;fruits;fruits séchés;Fruit séché (aliment moyen);1130;267;26.6;2.13;61.3;0.56;52.1;27.1;6.43;0.21;0.068
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Abricot pays. chair et peau. sans noyau. au sirop. appertisé. non égoutté. prélevé à la Martinique;-;-;84.5;0.28;13.3;0.1;7.3;1.2;1.8;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Abricot pays. chair et peau. sans noyau. cru. prélevé à la Martinique;-;-;85.4;0.48;10.8;0.05;3.7;1.5;3.1;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Ananas. chair sans peau. cru . prélevé à la Martinique;-;-;83.4;0.56;-;0;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Caïmite (ou pomme étoile ou pomme de lait). chair sans peau. cru. prélevé à la Martinique;-;-;80.3;0.31;-;2.87;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Cerise acérola. chair et peau. sans noyau. crue. prélevée à la Martinique;-;-;93.1;0.56;-;0.097;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Chadèque. chair sans peau. sans pépins. cru. prélevé à la Martinique;-;-;90.6;0.48;-;0.3;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Chips d'abricot pays. prélevé à la Martinique;-;-;5.13;0.96;68.7;18.7;33.3;4.47;6.2;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Goyave. chair sans peau. purée. prélevée à la Martinique;-;-;88.5;0.83;-;0.0067;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de carambole. prélevé à la Martinique. jus filtré;-;-;91.6;-;-;0.15;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de carambole. prélevée à la Martinique. jus non filtré;-;-;90.4;0.063;-;0.03;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de citron punch (variété petit calibre). pur jus. prélevé à la Martinique;-;-;92;0.48;-;0.14;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de citron vert (variété gros calibre). pur jus. prélevé à la Martinique;-;-;91.4;0.69;-;0.46;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de corossol. prélevé à la Martinique;-;-;84;0.65;-;0.43;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de fruit de la passion ou maracudja. prélevé à la Martinique. pur jus;-;-;84.4;1.08;-;0.37;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de grenade. prélevée à la Martinique;-;-;87;0.69;-;0;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de lime. pur jus. prélevé à la Martinique;-;-;92.4;0.35;-;0.57;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de mandarine commune. pur jus filtré pasteurisé. prélevée à la Martinique;160;37.6;-;-;9.4;0;9.4;2;< 0.5;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de mandarine commune. pur jus filtré. prélevée à la Martinique;178;42.1;90;0.61;8.63;0.57;8.63;1.87;< 0.5;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de mandarine macaque. pur jus filtré. prélevée à la Martinique;194;45.5;88.2;0.6;10.8;0;3.87;0.63;< 0.5;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de moubin. pur jus. prélevé à la Martinique;-;-;85.5;0.88;-;0.19;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Jus de pamplemousse (variété locale). pur jus. prélevé à la Martinique;-;-;92.3;0.42;-;0.19;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;"Jus de prune de cythère verte ""géante"" (variété locale). fruit mûr. pur jus filtré. prélevée à la Martinique";141;33.4;91.1;0.29;7.13;0.19;4.34;0.65;1;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;"Jus de prune de cythère verte ""géante"" (variété locale). fruit vert. pur jus filtré. prélevée à la Martinique";135;32;91.7;0.44;6.55;0.28;0.03;0.006;0.8;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;"Jus de prune de cythère verte ""naine"" (variété hybride). fruit mûr. pur jus filtré. prélevée à la Martinique";196;46.4;87.8;0.69;9.97;0.21;6.14;2.27;0.9;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;"Jus de prune de cythère verte ""naine"" (variété hybride). fruit vert. pur jus filtré. prélevée à la Martinique";135;31.9;91.6;0.67;6.34;0.26;0.19;0.16;0.8;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Mandarine commune. chair sans peau. sans pépins. au sirop. appertisée. non égouttée. prélevée à la Martinique;-;-;-;-;17.4;-;17.4;3.83;0.7;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Mango bassignac. chair sans peau. sans noyau. cru. prélevé à la Martinique;-;-;77.3;0.32;18.5;traces;-;-;3.2;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Mangue moussache. chair sans peau. sans noyau. crue. prélevé à la Martinique;-;-;75.5;1.28;20.9;traces;-;-;2;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Mangue julie. chair sans peau. sans noyau. crue. prélevée à la Martinique;-;-;77.8;0.71;18.3;traces;-;-;2.8;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Mangue verte. chair sans peau. sans noyau. crue. prélevée à la Martinique;-;-;82.1;1.31;12.2;traces;-;-;3.4;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Melon. chair sans peau. sans pépins. cru. prélevé à la Martinique;-;-;87;1.08;-;0.047;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Orange (variété locale). chair sans peau. sans pépins. prélevée à la Martinique;-;-;90.2;0.6;-;0.67;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Orange amère. chair sans peau. sans pépins. crue. prélevée à la Martinique;-;-;91.6;0.73;-;0.43;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Pastèque. chair sans peau. sans pépins. crue. prélevée à la Martinique;-;-;91.5;0.77;-;0.26;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Pomme cajou. chair et peau. crue. prélevée à la Martinique;-;-;88.5;0.79;-;0.11;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Pomme cannelle. chair sans peau. sans pépins. crue. prélevée à la Martinique;-;-;67.2;1.48;-;0.57;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Pomme d'eau ou pomme malaca. chair sans peau. sans noyau. crue. prélevée à la Martinique;-;-;91.1;0.44;-;0.023;-;-;-;-;-
fruits. légumes. légumineuses et oléagineux;fruits;fruits et leurs produits de la Martinique;Pomme liane. chair sans peau. avec pépins. crue. prélevée à la Martinique;-;-;82.6;0.88;-;0.22;-;-;-;-;-
